artist_name,track_name,duration_ms,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mood
Imagine Dragons,Machine,181880,2018,62,0.638,0.679,4,-5.278,1,0.0425,0.0016,0.00655,0.121,0.596,81.045,SCARED
Imagine Dragons,Only,180733,2018,57,0.691,0.803,9,-5.029,1,0.0355,0.015,0.0,0.0862,0.424,104.997,ANGRY
Imagine Dragons,Love,166360,2018,55,0.697,0.507,8,-6.178,1,0.04,0.0535,1.19e-06,0.0469,0.382,82.483,ANGRY
Imagine Dragons,Stuck,190853,2018,54,0.621,0.478,5,-8.246,1,0.0351,0.263,0.0,0.257,0.248,115.023,ANGRY
Queen,We Are The Champions - Live Aid,237026,2018,44,0.316,0.86,7,-5.038,0,0.0661,0.175,4.92e-05,0.902,0.195,100.888,SCARED
Kina,Get You The Moon (feat. Snøw),179080,2018,78,0.498,0.235,1,-16.541,0,0.188,0.72,0.0,0.144,0.0895,118.917,SAD
SadBoyProlific,Dead and Cold,89625,2018,72,0.622,0.467,2,-9.889,0,0.568,0.872,2.15e-06,0.0931,0.716,87.967,SAD
SadBoyProlific,Alone,160061,2018,65,0.874,0.358,9,-13.642,1,0.459,0.494,0.00196,0.336,0.437,119.091,SAD
Kina,Can We Kiss Forever?,187932,2018,74,0.522,0.128,4,-18.717,1,0.0357,0.894,0.026,0.0941,0.124,109.986,SAD
SadBoyProlific,Pain,123063,2018,44,0.759,0.397,7,-14.288,0,0.077,0.231,0.0,0.109,0.244,113.96,SAD
Los Pericos,Pupilas Lejanas,241232,2018,36,0.697,0.651,0,-6.554,0,0.039,0.0571,0.0,0.668,0.91,144.93,HAPPY
Miklez,Candle In The Dark,235416,2019,17,0.944,0.81,10,-5.736,1,0.0925,0.31,0.0,0.0634,0.712,134.751,SAD
Cigarettes After Sex,Cry,256800,2019,76,0.409,0.399,7,-10.456,1,0.0275,0.763,0.654,0.112,0.161,142.823,SAD
Cigarettes After Sex,Heavenly,288595,2019,69,0.539,0.431,8,-9.298,1,0.0249,0.628,0.653,0.11,0.122,105.156,SAD
Cigarettes After Sex,Touch,292853,2019,64,0.487,0.501,6,-9.404,1,0.024,0.365,0.911,0.103,0.372,95.924,SAD
Cigarettes After Sex,Hentai,285147,2019,55,0.453,0.228,5,-12.427,0,0.0284,0.699,0.434,0.108,0.156,125.986,SAD
Sleeping At Last,Two,258609,2019,57,0.504,0.327,4,-9.49,1,0.0367,0.902,7.63e-06,0.445,0.299,132.803,SAD
Cigarettes After Sex,Pure,254627,2019,53,0.521,0.211,6,-13.489,0,0.0324,0.544,0.836,0.101,0.0412,134.285,SAD
Sleeping At Last,Three,247464,2019,44,0.389,0.181,0,-11.148,1,0.0431,0.94,0.0,0.0644,0.259,127.965,SAD
Sleeping At Last,Smell,262215,2019,29,0.454,0.277,0,-10.526,1,0.0338,0.892,4.39e-06,0.119,0.213,114.649,SAD
Sleeping At Last,Atlas: Nine,321767,2019,27,0.382,0.09,10,-16.467,1,0.0525,0.924,0.0,0.133,0.229,113.184,SAD
Julia Michaels,What A Time (feat. Niall Horan),173307,2019,78,0.516,0.467,0,-6.184,1,0.0302,0.662,0.0,0.0853,0.386,132.861,SAD
Ruel,Painkiller,213507,2019,68,0.683,0.42,5,-6.51,1,0.0542,0.0875,0.0,0.225,0.469,128.621,SAD
Bea Miller,feel something,180161,2019,66,0.74,0.415,0,-8.914,1,0.0707,0.242,0.000156,0.319,0.156,136.029,SAD
Madison Beer,Dear Society,179577,2019,57,0.651,0.594,7,-6.374,0,0.0491,0.163,0.0,0.133,0.416,145.942,SAD
Marshmello,Down,153000,2019,45,0.677,0.947,1,-3.814,1,0.0538,0.0014,0.0688,0.0712,0.798,142.008,ANGRY
Julia Michaels,Falling For Boys,183720,2019,45,0.646,0.485,0,-6.647,1,0.0829,0.501,0.0,0.121,0.408,148.13,SAD
Ritviz,Udd Gaye,180414,2019,64,0.595,0.817,11,-6.187,0,0.0474,0.000712,0.0386,0.142,0.483,144.961,HAPPY
Ritviz,Sage,230204,2019,59,0.663,0.412,5,-8.195,0,0.364,0.00434,0.019,0.215,0.356,98.023,HAPPY
Billie Eilish,everything i wanted,245426,2019,83,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,SAD
Sasha Alex Sloan,Dancing With Your Ghost,197732,2019,78,0.629,0.328,11,-8.284,1,0.029,0.768,2.5e-05,0.103,0.389,74.953,SAD
FINNEAS,I Lost a Friend,237020,2019,65,0.453,0.208,11,-11.917,1,0.22,0.585,0.0,0.119,0.218,169.326,SAD
blackbear,NYLA,252097,2019,39,0.555,0.185,9,-11.521,1,0.0344,0.37,0.0,0.469,0.188,119.418,SAD
deadmau5,SATRN,415447,2019,30,0.455,0.869,5,-6.132,1,0.05,0.00523,0.9,0.0914,0.0289,127.97,ANGRY
Shrimp,doll,142452,2019,53,0.454,0.725,2,-8.24,1,0.0343,0.126,0.618,0.0808,0.129,155.0,SCARED
Bon Iver,Marion,141667,2019,55,0.342,0.0651,3,-13.105,1,0.0367,0.933,4.61e-05,0.11,0.236,141.753,SAD
Klaas,When We Were Still Young,180692,2019,44,0.73,0.833,9,-5.303,1,0.0587,0.261,0.000169,0.122,0.296,125.028,HAPPY
Klaas,Someone Like You,175714,2019,37,0.718,0.775,9,-5.742,1,0.078,0.27,1.59e-05,0.375,0.244,125.935,SAD
Ritviz,Jeet,184848,2019,54,0.787,0.734,0,-6.465,1,0.0703,0.364,0.000995,0.0625,0.644,98.989,HAPPY
Ritviz,Jeet 2.0,186667,2019,40,0.685,0.44,0,-7.08,1,0.0508,0.415,0.0,0.439,0.834,99.056,HAPPY
Liana Flores,rises the moon,161929,2019,81,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,SCARED
Strawberry Guy,Mrs Magic,208500,2019,76,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,SCARED
Clairo,Bubble Gum,175961,2019,76,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,SCARED
Faye Webster,Kingston,202653,2019,71,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,SCARED
Cavetown,Juliet,278991,2019,74,0.546,0.586,6,-8.488,1,0.0313,0.00346,0.00114,0.0562,0.364,131.778,SCARED
Strawberry Guy,What Would I Do?,234000,2019,68,0.539,0.461,11,-7.674,1,0.0279,0.457,0.903,0.072,0.436,128.635,SCARED
carwash,striptease,160659,2019,67,0.693,0.575,8,-8.887,1,0.0727,0.124,0.946,0.102,0.728,130.033,SCARED
awfultune,I Met Sarah in the Bathroom,121375,2019,65,0.675,0.408,0,-10.861,1,0.142,0.901,0.000714,0.16,0.229,90.111,SCARED
Strawberry Guy,Intermission,110181,2019,61,0.444,0.418,11,-7.219,1,0.026,0.261,0.823,0.112,0.236,98.958,SCARED
awfultune,MINE,175354,2019,61,0.693,0.0693,1,-20.707,1,0.0492,0.845,1.14e-06,0.142,0.217,67.448,SCARED
Strawberry Guy,Birch Tree,280604,2019,60,0.491,0.619,8,-8.717,1,0.03,0.226,0.297,0.116,0.164,114.392,SCARED
beabadoobee,Soren,241944,2019,58,0.59,0.264,6,-10.354,1,0.0323,0.799,0.00155,0.0506,0.149,117.984,SCARED
Catie Turner,i luv him.,225824,2019,54,0.647,0.176,0,-9.501,1,0.0751,0.854,0.0,0.199,0.441,122.795,SAD
Catie Turner,Home,207837,2019,53,0.361,0.177,11,-12.023,0,0.0346,0.927,0.0,0.0911,0.32,113.36,SAD
Faye Webster,Pigeon,158400,2019,45,0.763,0.357,1,-9.753,0,0.035,0.379,0.00621,0.123,0.664,80.034,SCARED
khai dreams,Fly Away,115385,2019,45,0.846,0.526,8,-7.469,1,0.0688,0.4,0.0,0.2,0.668,104.097,SCARED
Crayon,Pretty girl,212733,2019,47,0.669,0.914,8,-3.159,1,0.0475,0.0974,0.0,0.141,0.848,97.958,SCARED
Bring Me The Horizon,ouch,109011,2019,49,0.514,0.813,2,-6.554,0,0.0719,0.00221,0.0204,0.295,0.382,160.047,ANGRY
Einmusik,Mockingbird,452396,2019,21,0.777,0.894,6,-9.886,0,0.054,0.000185,0.938,0.114,0.113,124.004,ANGRY
Fatima Fuentes,listen before I go,229625,2019,22,0.425,0.0117,9,-24.166,0,0.0751,0.996,0.961,0.104,0.131,205.213,SAD
Yot Club,YKWIM?,212750,2019,81,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,SCARED
Eyedress,Jealous,122339,2019,82,0.474,0.921,9,-10.431,0,0.0457,0.00491,0.85,0.476,0.696,93.01,SCARED
Lewis Capaldi,Before You Go,215107,2019,83,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,SAD
Harry Styles,Falling,240133,2019,82,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,SAD
jagger finn,Vas,90324,2019,76,0.514,0.424,0,-10.645,1,0.0282,0.918,0.849,0.126,0.416,71.114,SAD
Billie Eilish,i love you,291796,2019,78,0.421,0.131,0,-18.435,1,0.0382,0.952,0.00453,0.109,0.12,137.446,SAD
Lewis Capaldi,Bruises,220492,2019,79,0.736,0.308,4,-7.83,1,0.0677,0.946,0.0,0.186,0.361,111.202,SAD
Rex Orange County,Pluto Projector,267520,2019,76,0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,SAD
