search_no,search_term,name_playlist,link_playlist,mood_mapping,playlist_no
4,Rainy Day Tunes songs,90s/early 2000s rainy day music,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,10
4,Rainy Day Tunes songs,Rainy Day Classical Music,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,11
4,Rainy Day Tunes songs,Rainy day music,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,12
4,Rainy Day Tunes songs,Rainy day music 2019,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,13
4,Rainy Day Tunes songs,Rainy day song playlist,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,14
4,Rainy Day Tunes songs,rainy day song,https://www.youtube.com/watch?v=W-w3WfgpcGg&list=PL9hCxE_ypj2yx2VXUHitZVdaqP447LT0z,Rainy Day Tunes: introspection : gloominess,15
5,Inspirational Beats songs,Top 30 Upbeat Inspirational Songs,https://www.youtube.com/watch?v=sENM2wA_FTg&list=PLIdy0pK8PQg__cryoPjU_rwvlhXw3gTG3,Inspirational Beats: motivation : discouragement,1
5,Inspirational Beats songs,Inspiring Background Music,https://www.youtube.com/watch?v=sENM2wA_FTg&list=PLIdy0pK8PQg__cryoPjU_rwvlhXw3gTG3,Inspirational Beats: motivation : discouragement,2
5,Inspirational Beats songs,Best Motivational Songs (Live life to the fullest) - Spotify Playlist 2024,https://www.youtube.com/watch?v=sENM2wA_FTg&list=PLIdy0pK8PQg__cryoPjU_rwvlhXw3gTG3,Inspirational Beats: motivation : discouragement,3
5,Inspirational Beats songs,Motivational songs,https://www.youtube.com/watch?v=sENM2wA_FTg&list=PLIdy0pK8PQg__cryoPjU_rwvlhXw3gTG3,Inspirational Beats: motivation : discouragement,4
